Prompt,Mechanic,Set,Sheet,Picture,"Cards with paw prints are marked with "" * """
"""Baby Robin"" your best friend.",Favor,NSFW Edition,Main Decks,Link,
A Hedgehog hogs the blankets.,I'll Take That,Barking Kittens,Expansions,Link,
A Jacknope bounds into the room. (First Edition),Nope,First Edition,Main Decks,Link,
A Jacknope bounds into the room. (Original Edition),Nope,Original Edition,Main Decks,Link,
A Jacknope bounds into the room. (Party Pack),Nope,Party Pack,Main Decks,Link,
A Jacknope bounds into the room. (TFC Edition),Nope,TFC Edition,Main Decks,Link,
A Kraken emerges and he's super upset.,Shuffle,NSFW Edition,Main Decks,Link,
A nope ninja delivers a wicked dragon kick. (First Edition),Nope,First Edition,Main Decks,Link,
A nope ninja delivers a wicked dragon kick. (Original Edition),Nope,Original Edition,Main Decks,Link,
A nope ninja delivers a wicked dragon kick. (Party Pack),Nope,Party Pack,Main Decks,Link,
A nope ninja delivers a wicked dragon kick. (TFC Edition),Nope,TFC Edition,Main Decks,Link,
A nope ninja delivers a wicked dragon kick. *,Nope,Party Pack,Main Decks,Link,
A plague of bat farts descends from the sky. (First Edition),Shuffle,First Edition,Main Decks,Link,
A plague of bat farts descends from the sky. (Original Edition),Shuffle,Original Edition,Main Decks,Link,
A plague of bat farts descends from the sky. (TFC Edition),Shuffle,TFC Edition,Main Decks,Link,
A transdimensional litter box materializes. (First Edition),Shuffle,First Edition,Main Decks,Link,
A transdimensional litter box materializes. (Original Edition),Shuffle,Original Edition,Main Decks,Link,
A transdimensional litter box materializes. (Party Pack),Shuffle,Party Pack,Main Decks,Link,
A transdimensional litter box materializes. (TFC Edition),Shuffle,TFC Edition,Main Decks,Link,
A transdimensional litter box materializes. *,Shuffle,Party Pack,Main Decks,Link,
Abracrab Lincoln elected president. (First Edition),Shuffle,First Edition,Main Decks,Link,
Abracrab Lincoln elected president. (Original Edition),Shuffle,Original Edition,Main Decks,Link,
Abracrab Lincoln elected president. (Party Pack),Shuffle,Party Pack,Main Decks,Link,
Abracrab Lincoln elected president. (TFC Edition),Shuffle,TFC Edition,Main Decks,Link,
Abracrab Lincoln elected president. *,Shuffle,Party Pack,Main Decks,Link,
Agree to participate in your cat's science experiment.,Super Skip,Streaking Kittens,Expansions,Link,
An asparagus bum dragon appears.,Shuffle,NSFW Edition,Main Decks,Link,
An electromagnetic pomeranian storm rolls in from the east. (First Edition),Shuffle,First Edition,Main Decks,Link,
An electromagnetic pomeranian storm rolls in from the east. (Original Edition),Shuffle,Original Edition,Main Decks,Link,
An electromagnetic pomeranian storm rolls in from the east. (Party Pack),Shuffle,Party Pack,Main Decks,Link,
An electromagnetic pomeranian storm rolls in from the east. (TFC Edition),Shuffle,TFC Edition,Main Decks,Link,
Armakitten,Armakitten,Deck of Legends,Main Decks,Link,
Ask for a back hair shampoo. (First Edition),Favor,First Edition,Main Decks,Link,
Ask for a back hair shampoo. (Original Edition),Favor,Original Edition,Main Decks,Link,
Ask for a back hair shampoo. (TFC Edition),Favor,TFC Edition,Main Decks,Link,
"Ask not what your kitten can do for you, ask what you can do for your kitten.",Kitten President,Deck of Legends,Main Decks,Link,
Ask the All-seeing goat wizard. (First Edition),See the Future 3x,First Edition,Main Decks,Link,
Ask the All-seeing goat wizard. (Original Edition),See the Future 3x,Original Edition,Main Decks,Link,
Ask the All-seeing goat wizard. (TFC Edition),See the Future 3x,TFC Edition,Main Decks,Link,
Ask the All-seeing goat wizard. *,See the Future 3x,Party Pack,Main Decks,Link,
Attach a butterfly to your genitals and see where it takes you in life.,See the Future 3x,NSFW Edition,Main Decks,Link,
Awaken the Bear-o-dactyl. (First Edition),Attack 2x,First Edition,Main Decks,Link,
Awaken the Bear-o-dactyl. (Original Edition),Attack 2x,Original Edition,Main Decks,Link,
Awaken the Bear-o-dactyl. (Party Pack),Attack 2x,Party Pack,Main Decks,Link,
Awaken the Bear-o-dactyl. (TFC Edition),Attack 2x,TFC Edition,Main Decks,Link,
Awaken the Bear-o-dactyl. *,Attack 2x,Party Pack,Main Decks,Link,
Awaken the Narnope.,Nope,NSFW Edition,Main Decks,Link,
Barking Kitten (dog house),Barking Kitten,Barking Kittens,Expansions,Link,
Barking Kitten (fence),Barking Kitten,Barking Kittens,Expansions,Link,
Be adventurous on a first date. Go skinny dipping in hot garbage.,Garbage Collection,Streaking Kittens,Expansions,Link,
Beard Cat (Bonus Edition),Cat Card,All Bonus Cards,Bonus Edition,Link,
Beard Cat (Bonus TFC Edition),Cat Card,All Bonus Cards,Bonus TFC Edtion,Link,
Beard Cat (First Edition),Cat Card,First Edition,Main Decks,Link,
Beard Cat (Original Edition),Cat Card,Original Edition,Main Decks,Link,
Beard Cat (Party Pack),Cat Card,Party Pack,Main Decks,Link,
Beard Cat (TFC Edition),Cat Card,TFC Edition,Main Decks,Link,
Beard Cat *,Cat Card,Party Pack,Main Decks,Link,
Behold the Angler Pig.,See the Future 5x,Streaking Kittens,Expansions,Link,
Bikini Cat,Cat Card,NSFW Edition,Main Decks,Link,
Blind as a Bat,Blind as a Bat,All Bonus Cards,Hidden Edition,Link,
Blind as a Bat (art deco),Blind as a Bat,All Bonus Cards,Hidden Edition,Link,
Blind as a Bat (art deco) *,Blind as a Bat,All Bonus Cards,Hidden Edition,Link,
Blind as a Bat (instructions),Instructions,All Bonus Cards,Hidden Edition,Link,
Blind someone with an unwanted fur bum.,Curse of the Cat Butt,Streaking Kittens,Expansions,Link,
Bury something that probably shouldn't be buried.,Bury,Barking Kittens,Expansions,Link,
C.A.T,C.A.T,Deck of Legends,Main Decks,Link,
Cat to the Future,Cat to the Future,Deck of Legends,Main Decks,Link,
Cat's Schrodinger,Cat Card,NSFW Edition,Main Decks,Link,
Cat's Schrodinger (Bonus Edition),Cat Card,All Bonus Cards,Bonus Edition,Link,
Caternator,Caternator,Deck of Legends,Main Decks,Link,
Cattermelon (Bonus Edition),Cat Card,All Bonus Cards,Bonus Edition,Link,
Cattermelon (Bonus TFC Edition),Cat Card,All Bonus Cards,Bonus TFC Edtion,Link,
Cattermelon (First Edition),Cat Card,First Edition,Main Decks,Link,
Cattermelon (Original Edition),Cat Card,Original Edition,Main Decks,Link,
Cattermelon (Party Pack),Cat Card,Party Pack,Main Decks,Link,
Cattermelon (TFC Edition),Cat Card,TFC Edition,Main Decks,Link,
Cattermelon *,Cat Card,Party Pack,Main Decks,Link,
Clean up while your cat watches.,Bury,Barking Kittens,Expansions,Link,
Commandeer a Bunnyraptor. (First Edition),Skip,First Edition,Main Decks,Link,
Commandeer a Bunnyraptor. (Original Edition),Skip,Original Edition,Main Decks,Link,
Commandeer a Bunnyraptor. (Party Pack),Skip,Party Pack,Main Decks,Link,
Commandeer a Bunnyraptor. (TFC Edition),Skip,TFC Edition,Main Decks,Link,
Commandeer a Bunnyraptor. *,Skip,Party Pack,Main Decks,Link,
Consult with a business goat.,Alter the Future 3x NOW,Barking Kittens,Expansions,Link,
Crab walk with some crabs. (First Edition),Skip,First Edition,Main Decks,Link,
Crab walk with some crabs. (Original Edition),Skip,Original Edition,Main Decks,Link,
Crab walk with some crabs. (Party Pack),Skip,Party Pack,Main Decks,Link,
Crab walk with some crabs. (TFC Edition),Skip,TFC Edition,Main Decks,Link,
Crab walk with some crabs. *,Skip,Party Pack,Main Decks,Link,
Crawl inside a goat butt and see many wondrous things.,See the Future 3x,NSFW Edition,Main Decks,Link,
Crawl inside a goat butt and see many wondrous things. (Party Pack),See the Future 3x,Party Pack,Main Decks,Link,
Deploy the groin-kicking Panda Bear.,Targeted Attack 2x,Imploding Kittens,Expansions,Link,
Deploy the Special-ops bunnies. (First Edition),See the Future 3x,First Edition,Main Decks,Link,
Deploy the Special-ops bunnies. (Original Edition),See the Future 3x,Original Edition,Main Decks,Link,
Deploy the Special-ops bunnies. (Party Pack),See the Future 3x,Party Pack,Main Decks,Link,
Deploy the Special-ops bunnies. (TFC Edition),See the Future 3x,TFC Edition,Main Decks,Link,
Deploy the Thousand-year back hair. (First Edition),Attack 2x,First Edition,Main Decks,Link,
Deploy the Thousand-year back hair. (Original Edition),Attack 2x,Original Edition,Main Decks,Link,
Deploy the Thousand-year back hair. (Party Pack),Attack 2x,Party Pack,Main Decks,Link,
Deploy the Thousand-year back hair. (TFC Edition),Attack 2x,TFC Edition,Main Decks,Link,
